Date,Transaction Type,Asset,Quantity,Price per Unit (USD),Total Value (USD),Fees (USD),From Address,To Address,Exchange/Platform,Notes
2024-01-05,Buy,BTC,0.5,40000,20000,50,Bank Account,Wallet123,Binance,Initial BTC purchase
2024-02-10,Sell,BTC,0.2,45000,9000,30,Wallet123,Bank Account,Coinbase,Sold partial BTC
2024-03-15,Swap,ETH->ADA,1.5,2000,3000,10,Wallet456,Wallet789,Uniswap,Swapped ETH for ADA
2024-04-20,Deposit,USDT,1000,1,1000,5,Wallet789,WalletABC,Binance,Transferred USDT to wallet
2024-05-01,Staking Reward,ADA,50,1.5,75,0,N/A,Wallet789,Binance,Monthly staking reward
2024-06-10,Airdrop,SOL,2,50,100,0,N/A,Wallet123,CryptoAirdrops,SOL airdrop event
2024-07-05,Lending Interest,USDT,5,1,5,0,Binance Earn Wallet,N/A,Binance,Earned interest on lending
2024-08-12,Withdrawal,BTC,0.1,48000,4800,15,Wallet123,External Wallet,Ledger Wallet,Transferred to cold wallet
2024-09-20,Gift Sent,ETH,0.3,2200,660,5,Wallet456,FriendWallet,N/A,Gift to a friend
2024-10-15,Mining Reward,ETH,0.1,3000,300,0,N/A,Wallet123,Mining Pool,Ethereum mining payout
2024-11-22,Loss,BTC,0.05,50000,2500,0,N/A,N/A,Wallet123,Lost funds due to hack
